MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE983954414591;WEA 06: 66475;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;27.12.2024
SEE937995699639;WEA 07: 67120;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;23.01.2025
SEE990700062609;WEA 08: 67107;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;19.12.2024
SEE926723977651;WEA 10: 66453;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;09.12.2024
SEE983044520010;WEA 11: 66918;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;30.01.2025
SEE943229572067;WEA 12: 66937;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17398;Ducherow;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;11.12.2024
SEE919626737125;WEA 13: 66942;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;03.12.2024
SEE966557058072;WEA 14: 66943;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;13.01.2025
SEE950087234884;WEA 15: 66940;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17398;Ducherow;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;06.01.2025
SEE933499951051;WEA 16: 66938;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17398;Ducherow;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;21.01.2025
